"rootgene1" "rootgene2" "rootgene3" "rootgene4" "rootgene5" "rootgene6" "rootgene7" "rootgene8" "rootcellcount" "offsgene1" "offsgene2" "offsgene3" "offsgene4" "offsgene5" "offsgene6" "offsgene7" "offsgene8" "offscellcount" "changeprobe1" "changeprobe2" "changeprobe3" "changeprobe4" "changeprobe5" "changeprobe6" "changeprobe7" "changeprobe8" "changeprobenumber" "TotalPrize"
7 1 2 5 4 2 3 4 1 7 1 4 5 1 2 2 4 1 0 0 1 0 1 0 1 0 3 2.652497083156e-05
7 1 4 4 2 3 4 4 1 8 1 5 4 2 3 5 4 1 1 0 1 0 0 0 1 0 3 6.54594265393503e-05
7 1 4 4 2 3 4 4 1 10 1 4 4 2 1 1 4 1 1 0 0 0 0 1 1 0 3 2.07260531605089e-06
7 1 4 5 1 2 2 4 1 7 1 6 4 2 2 2 4 1 0 0 1 1 1 0 0 0 3 0.000495654694976625
8 1 5 4 2 3 5 4 1 12 1 5 11 7 3 6 8 1 1 0 0 1 1 0 1 1 5 2.29539109527e-11
2 2 2 2 2 2 2 2 0 2 1 2 2 2 2 2 2 1 0 1 0 0 0 0 0 0 1 0.0312671435204717
2 2 2 2 2 2 2 2 0 2 2 2 2 1 2 2 2 1 0 0 0 0 1 0 0 0 1 0.0473047714083188
2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 3 2 1 0 0 0 0 0 0 1 0 1 0.0200633175971698
2 0 2 2 1 1 1 2 1 2 0 2 2 1 1 2 3 1 0 0 0 0 0 0 1 1 2 0.00117542624702823
2 0 2 2 1 1 1 2 1 2 0 2 2 2 1 1 2 1 0 0 0 0 1 0 0 0 1 0.0156797140120966
2 0 2 2 1 1 2 3 1 2 0 3 1 1 0 1 1 1 0 0 1 1 0 1 1 1 5 5.39481646203065e-08
2 0 2 2 2 1 1 2 1 2 1 2 1 1 2 2 1 1 0 1 0 1 1 1 1 1 6 8.63908379623131e-07
2 0 2 2 2 2 2 2 1 2 0 2 2 1 2 2 2 1 0 0 0 0 1 0 0 0 1 0.0260260017429475
2 0 3 1 1 0 1 1 1 2 0 6 3 1 1 3 4 1 0 0 1 1 0 1 1 1 5 2.54368530798782e-07
2 0 3 1 1 0 1 1 1 2 4 3 4 2 2 5 4 1 0 1 0 1 1 1 1 1 6 4.44522030547795e-09
2 0 3 1 1 0 1 1 1 3 1 4 3 1 1 1 3 1 1 1 1 1 0 1 0 1 6 1.49223776594556e-05
2 0 3 2 0 1 1 2 3 2 0 3 2 0 1 2 2 2 0 0 0 0 0 0 1 0 1 0.00802088735580584
